groupMetadataID,start_time,end_time,nummsgs,filebase,folder,vehicleID,experimentID,route,isOneMode,modes,auto_count,manual_count,percent_auto
dc39aa14-db32-11ee-a158-97f8443fd730,1.6923e+18,1.6923e+18,1585731,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692297395/20230817143836.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692297395/20230817143836.record.00000,Van1,1692297395,Blue Route,False,both,43658,12238,0.7810576785458709
e6d7d384-db40-11ee-a158-97f8443fd730,1.6923e+18,1.6923e+18,1473559,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692300020/20230817152142.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1692300020/20230817152142.record.00000,Van1,1692300020,Blue Route,False,both,40818,10885,0.7894706303309286
aa5dbcd2-ef10-11ee-9385-ef789ffde1d3,1.69237e+18,1.69237e+18,1419297,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692368703/20230818103132.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692368703/20230818103132.record.00000,Van1,1692368703,RedRoute,False,both,37821,11481,0.7671291225508093
e7b934a8-ef1a-11ee-9385-ef789ffde1d3,1.69238e+18,1.69238e+18,1855751,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692377371/20230818125321.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692377371/20230818125321.record.00000,Van1,1692377371,RedRoute,False,both,32064,31410,0.5051517156631061
85b6e70e-ef7a-11ee-b966-fb353e7798cd,1.69238e+18,1.69238e+18,1878405,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692380389/20230818134311.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692380389/20230818134311.record.00000,Van1,1692380389,RedRoute,False,both,37955,27161,0.5828828552122366
219f7eb8-ef87-11ee-b966-fb353e7798cd,1.69238e+18,1.69239e+18,2166480,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692384057/20230818144735.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1692384057/20230818144735.record.00000,Van1,1692384057,RedRoute,False,both,37610,37746,0.4990976166463188
3d2d29ec-ef95-11ee-b966-fb353e7798cd,1.69332e+18,1.69332e+18,1359538,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693318866/20230829104411.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693318866/20230829104411.record.00000,Van1,1693318866,RedRoute,False,both,23780,22338,0.5156338089249317
d3698592-ef9d-11ee-b966-fb353e7798cd,1.69333e+18,1.69333e+18,1609715,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693325330/20230829121122.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693325330/20230829121122.record.00000,Van1,1693325330,RedRoute,False,both,41351,13253,0.7572888433081826
fd1ab258-efa7-11ee-b966-fb353e7798cd,1.69333e+18,1.69333e+18,1138800,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693332650/freq1_1.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693332650/freq1_1.record.00000,Van1,1693332650,RedRoute,False,both,43908,11798,0.7882095285965605
8347b862-efad-11ee-b966-fb353e7798cd,1.69334e+18,1.69334e+18,1359985,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693335057/20230829145724.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693335057/20230829145724.record.00000,Van1,1693335057,RedRoute,False,both,23196,24575,0.4855665571162421
68c289fa-dbd4-11ee-a158-97f8443fd730,1.6935e+18,1.6935e+18,1478300,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693497944/20230831121319.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693497944/20230831121319.record.00000,Van1,1693497944,Blue Route,False,both,32044,19166,0.6257371607107987
8c57e8ac-dbec-11ee-a158-97f8443fd730,1.6935e+18,1.6935e+18,1447653,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693501873/20230831131352.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693501873/20230831131352.record.00000,Van1,1693501873,Blue Route,False,both,33852,15043,0.6923407301360057
aa86a660-dc05-11ee-a158-97f8443fd730,1.69351e+18,1.69351e+18,1600877,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693507789/20230831145207.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693507789/20230831145207.record.00000,Van1,1693507789,Blue Route,False,both,36355,19304,0.653173790402271
69ab88ec-dc17-11ee-a158-97f8443fd730,1.69393e+18,1.69393e+18,586521,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693925337/20230905105653.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693925337/20230905105653.record.00000,Van1,1693925337,Blue Route,False,both,10768,9665,0.5269906523760584
e2079a78-dc1d-11ee-a158-97f8443fd730,1.69393e+18,1.69393e+18,1377364,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693927674/20230905112938.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693927674/20230905112938.record.00000,Van1,1693927674,Blue Route,False,both,32160,15076,0.6808366500127022
a17c1280-ea10-11ee-b297-3b0ad9d5d6c6,1.69393e+18,1.69393e+18,1610259,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693930650/20230905121909.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1693930650/20230905121909.record.00000,Van1,1693930650,Blue Route,False,both,37913,18155,0.6761967610758365
817d6848-efb6-11ee-b966-fb353e7798cd,1.69393e+18,1.69394e+18,1574176,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693934067/20230905131659.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693934067/20230905131659.record.00000,Van1,1693934067,RedRoute,False,both,33090,21859,0.6021947624160585
be857244-efc0-11ee-b966-fb353e7798cd,1.69394e+18,1.69394e+18,1560301,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693936918/20230905140903.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1693936918/20230905140903.record.00000,Van1,1693936918,RedRoute,False,both,42189,12237,0.7751626061073752
fc211bb2-efca-11ee-b966-fb353e7798cd,1.69411e+18,1.69411e+18,1392877,/Deployment_2_SEOhio/RedRoute/TRCVan1/1694106141/20230907130406.record.00000,/Deployment_2_SEOhio/RedRoute/TRCVan1/1694106141/20230907130406.record.00000,Van1,1694106141,RedRoute,False,both,40096,8626,0.8229547227125323
ed7f2038-ea1e-11ee-b297-3b0ad9d5d6c6,1.69411e+18,1.69411e+18,1687333,/Deployment_2_SEOhio/Blue Route/TRCVan1/1694110308/20230907141313.record.00000,/Deployment_2_SEOhio/Blue Route/TRCVan1/1694110308/20230907141313.record.00000,Van1,1694110308,Blue Route,False,both,44482,14563,0.7533576086036075
40706f50-f03b-11ee-b96e-fb353e7798cd,1.69453e+18,1.69453e+18,916180,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694530022/20230912105416.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694530022/20230912105416.record.00000,Van1,1694530022,GreenRoute,False,both,20051,11966,0.6262610488178155
3a7dc9a6-f042-11ee-b974-fb353e7798cd,1.69453e+18,1.69453e+18,733317,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694532280/20230912112618.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694532280/20230912112618.record.00000,Van1,1694532280,GreenRoute,False,both,22795,2802,0.8905340469586279
ece2a8be-f047-11ee-b97d-fb353e7798cd,1.69453e+18,1.69453e+18,717390,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694533929/20230912115359.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694533929/20230912115359.record.00000,Van1,1694533929,GreenRoute,False,both,22985,2030,0.9188486907855287
8adb6498-f04d-11ee-b981-fb353e7798cd,1.69453e+18,1.69454e+18,759935,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694534890/20230912120914.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694534890/20230912120914.record.00000,Van1,1694534890,GreenRoute,False,both,23928,2714,0.8981307709631409
3ec95686-f053-11ee-b988-fb353e7798cd,1.69454e+18,1.69454e+18,706587,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694541382/20230912140006.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694541382/20230912140006.record.00000,Van1,1694541382,GreenRoute,False,both,19775,4835,0.8035351483136937
cf7148d8-f058-11ee-b98a-fb353e7798cd,1.69454e+18,1.69454e+18,699551,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694542999/20230912142607.record.00000,/Deployment_2_SEOhio/GreenRoute/TRCVan1/1694542999/20230912142607.record.00000,Van1,1694542999,GreenRoute,False,both,21763,2626,0.8923285087539464
